Image Name,Corresponding Text,Said by same character?,Annotation,Youtube Link
20.jpg,"""Dipper, listen to me.""",Yes,Anger,https://www.youtube.com/watch?v=o2E2wLm_LlY
21.jpg,"""If I can't have you as a friend, I'm gonna make you a trophy.""",Yes,Anger,https://www.youtube.com/watch?v=2qvWdZymCE0
22.jpg,"""I don't trust Plankton as far as I throw him.""",Yes,Anger,https://www.youtube.com/watch?v=TXkEmU4i-Sw
23.jpg,"""Oh, I hate these pants!""",Yes,Anger,https://www.youtube.com/watch?v=TXkEmU4i-Sw
24.jpg,"""Are you kidding me, algae on a rock?""",Yes,"Anger, Contempt",https://www.youtube.com/watch?v=TXkEmU4i-Sw
25.jpg,"""You destroyed my castle!""",Yes,Anger,https://www.youtube.com/watch?v=TXkEmU4i-Sw
26.jpg,"""Then you shouldnt'a got bit. Come on, stupid dog!""",Yes,Anger,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
27.jpg,"""Your pa was a real man. You can't fill his shoes!""",Yes,Anger,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
28.jpg,"""No! I'll show you how a real man fishes.""",Yes,Anger,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
29.jpg,"""Dipper, I am one million percent on board with this.""",Yes,Anger,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
30.jpg,"""Ingrates! Aw, who needs 'em.""",Yes,Anger,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
31.jpg,"""Be careful, Patrick.""",Yes,"Sadness, Fear",https://www.youtube.com/watch?v=HAwijJpmNGU
32.jpg,"""That I bought from pirates for twenty five bucks, and I didn't know it was a bomb, and you ate it.""",No,Sadness,https://www.youtube.com/watch?v=HAwijJpmNGU
33.jpg,"""Ow, ow.""",Yes,Sadness,https://www.youtube.com/watch?v=YiHs1fQc1kk
34.jpg,"""Skips.""",No,"Sadness, Fear",https://www.youtube.com/watch?v=YiHs1fQc1kk
35.jpg,"""Dad, you ruined me.""",Yes,Sadness,https://www.youtube.com/watch?v=2qvWdZymCE0
36.jpg,"""I sure wish he'd come home.""",Yes,Sadness,https://www.youtube.com/watch?v=2qvWdZymCE0
37.jpg,"""Yea I know, I heard.""",Yes,Sadness,https://www.youtube.com/watch?v=tg7ovSctPX8
38.jpg,"""Mr. Krabs, why aren't you watching the movie?""",Yes,Sadness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
39.jpg,"""Awww!""",Yes,Sadness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
40.jpg,"""Wait, come back! That was me last customer.""",Yes,Sadness,https://www.youtube.com/watch?v=TXkEmU4i-Sw
41.jpg,"""Don't talk with your mouth full! In fact, don't say anything at all.""",No,Sadness,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
42.jpg,"""My hair, oh no!""",Yes,Sadness,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
43.jpg,"""Ahhh.""",Yes,Sadness,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
44.jpg,"""Well, I- I just wanted attention.""",Yes,Sadness,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
45.jpg,"""Oh, I hope the boys don't go overboard with my present.""",No,Sadness,https://www.youtube.com/watch?v=ezkQfjz7Ltw
46.jpg,"""I saw a burgler, I did!""",Yes,Fear,https://www.youtube.com/watch?v=pyEKOY1TIbU&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D
47.jpg,"""When Vincent finds out about your little friends and your hang out time, he's probably gonna fire you.""",No,"Fear, Sadness",https://www.youtube.com/watch?v=YiHs1fQc1kk
48.jpg,"""Look out!""",No,Fear,https://www.youtube.com/watch?v=o2E2wLm_LlY
49.jpg,"""Ah!""",Yes,Fear,https://www.youtube.com/watch?v=o2E2wLm_LlY
50.jpg,"""Spongebob...""",Yes,"Fear, Surprise",https://www.youtube.com/watch?v=2qvWdZymCE0
51.jpg,"""It's the maniac!""",Yes,Fear,https://www.youtube.com/watch?v=2qvWdZymCE0
52.jpg,"""Ah!""",Yes,Fear,https://www.youtube.com/watch?v=2qvWdZymCE0
53.jpg,"""Poison sea urchins!""",Yes,Fear,https://www.youtube.com/watch?v=2qvWdZymCE0
54.jpg,"""Or will he leave a crater the size of the one that destroyed the Yucatan?""",No,Fear,https://www.youtube.com/watch?v=Gfb7TSuL0HA
55.jpg,"""Ah! Oh no!""",Yes,Fear,https://www.youtube.com/watch?v=TXkEmU4i-Sw
56.jpg,"""Ahh!!""",Yes,Fear,https://www.youtube.com/watch?v=TXkEmU4i-Sw
57.jpg,"""No no no, no no no, uh uh!""",Yes,Fear,https://www.youtube.com/watch?v=TXkEmU4i-Sw
58.jpg,"""Ahhhh!""",Yes,Fear,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
59.jpg,"""Ahhhh!""",Yes,Fear,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
60.jpg,"""Dude, am I a side character? You even think about stuff like that?""",Yes,Fear,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
61.jpg,"""Huh? Help!""",Yes,Surprise,https://www.youtube.com/watch?v=UITXSDarxLc
62.jpg,"""You are all just the right combination. Prying, but not pervy.""",No,Surprise,https://www.youtube.com/watch?v=gZXSXcOTh5M&list=PLLhOnau-tupSI1kqwyeBIQTgxmz0BHDUx&index=3
63.jpg,"""I don't think the jellyfish like it.""",No,Surprise,https://www.youtube.com/watch?v=2qvWdZymCE0
64.jpg,"""Here, use this!""",No,Surprise,https://www.youtube.com/watch?v=2qvWdZymCE0
65.jpg,"""I can't believe this.""",No,"Surprise, Fear",https://www.youtube.com/watch?v=2qvWdZymCE0
66.jpg,"""Yah!""",Yes,Surprise,https://www.youtube.com/watch?v=tg7ovSctPX8
67.jpg,"""Huh?""",Yes,"Surprise, Fear",https://www.youtube.com/watch?v=Gfb7TSuL0HA
68.jpg,"""Ah!""",Yes,"Surprise, Fear",https://www.youtube.com/watch?v=Gfb7TSuL0HA
69.jpg,"""Huh? Oh, no!""",Yes,"Surprise, Fear",https://www.youtube.com/watch?v=TXkEmU4i-Sw
70.jpg,"""Holy plot twist! It's a krabby patty!""",Yes,Surprise,https://www.youtube.com/watch?v=TXkEmU4i-Sw
71.jpg,"""Huh?""",Yes,"Surprise, Fear",https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
72.jpg,"""Thank you, son. But you're the ugliest boy I ever did see!""",No,Surprise,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
73.jpg,"""But I got proof this time!""",No,Surprise,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
74.jpg,"""Oooh, grilled cheese! My favorite.""",Yes,Surprise,https://www.youtube.com/watch?v=ezkQfjz7Ltw
75.jpg,"""Hi Candace! It's Jeremy. I was wondering if you wanted to go for a walk today.""",No,Surprise,https://www.youtube.com/watch?v=ezkQfjz7Ltw
76.jpg,"""Aw man, this sucks.""",Yes,Disgust,https://www.youtube.com/watch?v=YiHs1fQc1kk
77.jpg,"""Ah!""",Yes,Disgust,https://www.youtube.com/watch?v=o2E2wLm_LlY
78.jpg,"""What the?""",No,Disgust,https://www.youtube.com/watch?v=2qvWdZymCE0
79.jpg,"""Eugh.""",Yes,Disgust,https://www.youtube.com/watch?v=Gfb7TSuL0HA
80.jpg,"""Ew!""",Yes,"Disgust, Fear",https://www.youtube.com/watch?v=Gfb7TSuL0HA
81.jpg,"""You're contaminating the food! Just pick one.""",Yes,"Disgust, Anger",https://www.youtube.com/watch?v=TXkEmU4i-Sw
82.jpg,"""Eugh...""",Yes,"Disgust, Fear",https://www.youtube.com/watch?v=TXkEmU4i-Sw
83.jpg,"""Squidward, I present you with my life insurance policy.""",No,Disgust,https://www.youtube.com/watch?v=TXkEmU4i-Sw
84.jpg,"""Why did you save that?""",Yes,"Disgust, Fear",https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
85.jpg,"""I got a whole box of creepy fishing lures to keep me company. Eugh.""",Yes,Disgust,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
86.jpg,"""Agh. Dude, I dunno what I expected that to taste like.""",Yes,Disgust,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
87.jpg,"""Alright, I'll rub your feet. Eugh.""",Yes,Disgust,https://www.youtube.com/watch?v=JMMbtTYJ2UU
88.jpg,"""What is that putrid odor?""",Yes,Disgust,https://www.youtube.com/watch?v=JMMbtTYJ2UU
89.jpg,"""Oh, it's that Krabby Patty!""",Yes,Disgust,https://www.youtube.com/watch?v=JMMbtTYJ2UU
90.jpg,"""Ew. Sulphur miners.""",No,Disgust,https://www.youtube.com/watch?v=ZCsoU3JLlZU
91.jpg,"""Yes sir, even people.""",Yes,Contempt,https://www.youtube.com/watch?v=pyEKOY1TIbU&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D
92.jpg,"""742 Evergreen Terrace? That's our address.""",Yes,"Contempt, Anger",https://www.youtube.com/watch?v=gZXSXcOTh5M&list=PLLhOnau-tupSI1kqwyeBIQTgxmz0BHDUx&index=3
93.jpg,"""My sister tended to look on the bright side of things.""",Yes,Contempt,https://www.youtube.com/watch?v=o2E2wLm_LlY
94.jpg,"""Son, we're looking for the maniac.""",Yes,Contempt,https://www.youtube.com/watch?v=2qvWdZymCE0
95.jpg,"""That's no pet, that's a wild animal.""",Yes,Contempt,https://www.youtube.com/watch?v=2qvWdZymCE0
96.jpg,"""But I never get any better.""",Yes,Contempt,https://www.youtube.com/watch?v=2qvWdZymCE0
97.jpg,"""Eugh.""",Yes,"Contempt, Anger",https://www.youtube.com/watch?v=Gfb7TSuL0HA
98.jpg,"""Eh, I'll believe it when I sees it.""",Yes,Contempt,https://www.youtube.com/watch?v=TXkEmU4i-Sw
99.jpg,"""Well I'm pretty booked today, but I think I can fit you in.""",Yes,Contempt,https://www.youtube.com/watch?v=TXkEmU4i-Sw
100.jpg,"""Didn't see it, don't care.""",Yes,Contempt,https://www.youtube.com/watch?v=TXkEmU4i-Sw
101.jpg,"""You sure you don't wanna go?""",No,Contempt,https://www.youtube.com/watch?v=Bkzu-GEBS3s&list=PLo0OWYjmyFyY7q-QY6zbjsUamL_3LeA6D&index=2
102.jpg,"""What is that, a woodpecker?""",Yes,Contempt,https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
103.jpg,"""What're you playin at old man?""",Yes,"Contempt, Anger",https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
104.jpg,"""Monster hunt, monster hunt, monster hunt!""",No,"Contempt, Anger",https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
105.jpg,"""It's funny because marriage is terrible. What?""",No,"Contempt, Anger",https://www.youtube.com/watch?v=vvgGISTij8Q&list=PLg6R6yXKSLYBomPPcqXGzaQI0pCZc8uZA&index=2
